Word,Meaning,Value
anus,butt,45
bampot,idiot,30
arse,butt,45
bastard,illegitimate child,55
arsehole,butt,45
beaner,Mexican,25
ass ,butt,45
beartrap,female genitalia,75
ass-hat,idiot,25
bitch,female dog,70
ass-jabber ,homosexual,45
bitchass,idiot,50
ass-pirate,homosexual,35
bitches,female dogs,45
assbag,idiot,30
bitchtits,homosexual,30
assbandit,homosexual,30
bitchy,mean,35
assbanger,homosexual,55
blow job,sexual act,70
assbite,idiot,45
blowjob,sexual act,70
assclown,butt,30
bollocks,male genitalia,75
asscock,idiot,45
bollox,male genitalia,75
asscracker,butt,30
boner,erection,80
asses,butts,30
brotherfucker,homosexual,85
assface,butt,35
bullshit,poop,40
assfuck,rear-loving,70
bumblefuck,homosexual,65
assfucker,homosexual,70
butt plug,cork,50
assgoblin,homosexual,65
butt-pirate,homosexual,40
asshat,butt,45
buttfucka,homosexual,65
asshead,idiot,35
buttfucker,homosexual,65
asshole,jerk,35
camel toe,female genitalia,70
asshopper,homosexual,50
carpetmuncher,homosexual,85
assjacker,homosexual,50
chesticle,Breast,50
asslick,idiot,45
chinc,Chinese,20
asslicker,Buttlicker,45
chink,asian,20
assmonkey,idiot,30
choad,male genitalia,60
assmunch,idiot,30
chode,small penis,70
assmuncher,butt,40
clit,female genitals,70
assnigger,Racial Slur,40
clitface,idiot,75
asspirate,homosexual,40
clitfuck,sexual act,80
assshit,idiot,40
clitweasel,idiot,65
assshole,butt,45
clusterfuck,mess up,65
asssucker,idiot,50
cock,penis,50
asswad,butt,45
cockass,Jerk,70
asswipe,butt,45
cockbite,idiot,80
axwound,female genitalia,75
cockburger,idiot,75
cockface,idiot,75
cockfucker,idiot,75
cockhead,idiot,75
cockjockey,homosexual,60
cockknoker,homosexual,70
cockmaster,homosexual,70
cockmongler,homosexual,80
cockmongruel,homosexual,80
cockmonkey,idiot,65
cockmuncher,homosexual,80
cocknose,idiot,60
cocknugget,idiot,65
cockshit,idiot,65
cocksmith,homosexual,55
cocksmoke,homosexual,60
cocksmoker,homosexual,65
cocksniffer,homosexual,80
cocksucker,homosexual,80
cockwaffle,idiot,60
coochie,female genitalia,70
coochy,female genitalia,70
coon,African American,35
cooter,vagina,70
cracker,Caucasian,35
cum,semen,60
cumbubble,idiot,65
cumdumpster,prostitute,70
cumguzzler,homosexual,80
cumjockey,homosexual,70
cumslut,dirty girl,70
cumtart,idiot,70
cunnie,female genitalia,80
cunnilingus,sexual act,80
cunt,vagina,70
cuntass,idiot,70
cuntface,idiot,80
cunthole,female genitalia,70
cuntlicker,homosexual,85
cuntrag,idiot,70
cuntslut,idiot,80
dago ,Italian,30
gay,homosexual,45
damn ,darn,10
gayass,butt,50
deggo,Italian,30
gaybob,homosexual,50
dick ,penis,60
dick-sneeze,orgasm,85
gaydo,homosexual,50
dickbag,idiot,70
gayfuck,homosexual,80
dickbeaters ,Hands,75
gayfuckist,homosexual,60
dickface,idiot,60
gaylord,homosexual,60
dickfuck,idiot,80
gaytard,homosexual,50
dickfucker,homosexual,80
gaywad,homosexual,55
dickhead,phallace face,60
goddamn,goshdarn,15
dickhole,male genitalia,80
goddamnit,goshdarnit,15
dickjuice,semen,70
gooch,female genitalia,80
dickmilk,sperm,80
gook,Chinese,35
dickmonger,homosexual,80
goopchute,female genitalia,80
dicks,penises,60
gringo,foreigner,30
dickslap,sexual act,85
guido,italian,55
dicksucker,homosexual,85
jackass,idiot,25
dicksucking,sexual act,85
jagoff,idiot,35
dicktickler,homosexual,80
jap,japanesse person,10
dickwad ,idiot,55
jerk off,masturbate,65
dickweasel,idiot,70
jerkass,idiot,55
dickweed,idiot,60
jigaboo,african american,30
dickwod,idiot,60
jizz,Semen,70
dike,homosexual,65
jungle bunny,african american,45
dildo,sexual toy,50
junglebunny,african american,45
dipshit ,idiot,50
kike,Jewish Person,35
docking,sexual act,75
kooch,female genitalia,80
doochbag,idiot,25
kootch,female genitalia,80
dookie,poop,50
kraut,german,30
douche,female hygene product,35
kunt,female genitalia,70
douche-fag,idiot,40
kyke,Jewish person,35
douchebag,female hygene accessory,60
lameass,loser,20
douchewaffle,homosexual,60
lardass,overweight individual,15
dumass,idiot,15
lesbian,homosexual,45
dumb ass,idiot,15
lesbo,homosexual,45
dumbass ,idiot,15
lezzie,homosexual,45
dumbfuck ,idiot,50
masturbate,sexual act,70
dumbshit ,idiot,40
mcfagget,homosexual,60
dumshit,idiot,40
mick,irish,30
dyke ,homosexual,65
fag,homosexual,65
minge,female genitalia,70
fagbag ,homosexual,70
mothafucka,Jerk,80
fagfucker,homosexual,75
mothafuckin',mother loving,80
faggit,homosexual,75
motherfucker,mother lover,80
faggot,homosexual,75
motherfucking,mother loving,80
faggotcock,homosexual,85
muff,female genitalia,80
fagnut ,homosexual,85
muffdiver,homosexual,90
fagtard,homosexual idiot,70
munging,sexual act,80
fatass ,a fat person,25
nazi,idiot,20
fellatio,sexual act,80
negro,african american,30
feltch ,sexual act,85
nigaboo,african american,30
flamer,homosexual,60
nigga,african american,35
fuck ,fornicate,60
nigger,african american,35
fuckass,idiot,60
niggerish,Racial slur,35
fuckbag ,idiot,60
niggers,African Americans,35
fuckboy,idiot,70
niglet,african american child,40
fuckbrain ,idiot,60
nignog,African American,40
fuckbutt,butt,70
nut sack,male genitalia,70
fuckbutter,Sexual fluids,80
nutsack,male genitalia,70
fucked,had intercourse,65
paki,pakistanien,15
fucker,fornicator,60
panooch,femail genitalia,80
fuckersucker,idiot,90
pecker,Penis,80
fuckface,idiot,60
peckerhead,idiot,65
fuckhead,butt,65
penis,male genitalia,60
fuckhole,jerk,80
penisbanger,homosexual,85
fuckin ,sexual act,70
penisfucker,homosexual,85
fucking,freaking,60
penispuffer,homosexual,85
fucknose ,idiot,65
piss,urinate,45
fucknut,idiot,60
pissed,urinated,45
fucknutt,idiot,55
pissed off,angry,45
fuckoff,go away,50
pissflaps,female genitalia,80
fucks,sexual act,60
polesmoker,homosexual,80
fuckstick,male genitalia,80
pollock,polish person,35
fucktard ,Moron,60
poon,female genital,80
fucktart,idiot,65
poonani,female genitalia,80
fuckup,idiot,65
poonany,vagina,80
fuckwad,idiot,60
poontang,female genitalia,80
fuckwit,dummy,60
porch monkey,african american,40
fuckwitt ,idiot,65
porchmonkey,African American,40
fudgepacker,homosexual,75
handjob,sexual act,80
prick,penis,65
hard on ,erection,75
punanny,female genitalia,80
heeb,Jewish Person,30
punta,female dog,45
hell,heck,10
pussies,Female Genitalias,75
ho,woman,55
pussy,female reproductive organ,70
hoe,woman,55
pussylicking,sexual act,90
homo,homosexual,55
puto,idiot,50
homodumbshit,idiot,55
queef,vaginal fart,75
honkey,white person,35
queer,homosexual,55
humping,sexual act,90
queerbait,homosexual,65
queerhole,homosexual,70
renob,erection,70
rimjob,dirty sexual act,80
ruski,Russian,15
sand nigger,middle eastern,40
sandnigger,middle eastern,40
schlong,male genitalia,80
scrote,male genitalia,80
shit,poop,50
shitass,idiot,50
shitbag,idiot,50
shitbagger,idiot,60
shitbrains,idiot,50
shitbreath,Bad Breath,50
shitcanned,fired,50
shitcunt,idiot,65
shitdick,idiot,65
shitface,pooface,55
shitfaced,drunk,50
shithead,jerk,50
shithole ,idiot,50
shithouse,bathroom,50
shitspitter,butt,65
shitstain,poop,55
shitter,defecator,60
shittiest,worst,50
shitting,pooping,55
shitty,bad,50
shiz,poop,50
shiznit,poop,50
skank,dirty girl,60
skeet,semen,65
skullfuck,sexual act,70
slut,sexually popular woman,70
slutbag ,sexually popular woman,70
smeg,poop,65
snatch,female genitalia,70
spic,mexican,20
spick,mexican american,20
splooge,ejaculate,80
spook,White person,35
suckass,idiot,60
tard,mentally challenged,30
testicle,male genitalia,70
thundercunt,idiot,70
tit,breast,70
titfuck,sexual act,80
tits,breasts,70
tittyfuck,sexual act,80
twat,female genitals,70
twatlips,idiot,75
twats,vaginas,70
twatwaffle,homosexual,80
twit,idiot,30
uglyfuck,idiot,40
unclefucker,homosexual,80
va-j-j,female genitalia,80
vag,female genitalia,80
vagina,female genitalia,80
vajayjay ,female genitalia,80
vjayjay,female genitalia,80
wank,sexual act,85
wankjob,sexual act,75
wetback,Mexican,50
whore,hussy,80
whorebag,idiot,80
whoreface,idiot,80
wop,Italian,30
sex ,act,45
jerk ,idiot,30
fuckyou,curse ,55